spill,65536,2000,131574000,138868083
spill,65536,1,65787,27960247
spill,65536,1656,108943272,157159735
spill,65536,2000,131574000,171425803
spill,65536,2000,131574000,194580082
spill,65536,3,197361,46203262
spill,65536,4,263148,45329551
spill,65536,1,65787,34531626
spill,65536,10,657870,25943723
spill,65536,10,657870,13469109
spill,65536,1,65787,12216043
spill,65536,2,131574,11763233
spill,65536,3,197361,4836037
spill,65536,2,131574,4249079
spill,65536,4,263148,4065920
spill,65536,1,65787,4231153
spill,65536,2,131574,3652927
spill,65536,2,131574,4270874
spill,65536,2,131574,4564481
spill,65536,3,197361,4843398
spill,65536,3,197361,4330007
spill,65536,2,131574,3048266
spill,65536,1,65787,3319915
spill,65536,5,328935,3192139
spill,65536,2,131574,2993134
spill,65536,5,328935,3383924
spill,65536,2,131574,3601460
spill,65536,1,65787,3456813
spill,65536,3,197361,3192704
spill,65536,4,263148,2706177
spill,65536,2,131574,2984678
spill,65536,4,263148,3353979
spill,65536,2,131574,3555733
spill,65536,1,65787,3625435
spill,65536,2,131574,3316930
spill,65536,1,65787,2860701
spill,65536,2,131574,3256861
spill,65536,1,65787,2531338
spill,65536,2,131574,2525549
spill,65536,2,131574,2703956
spill,65536,2,131574,2805376
spill,65536,1,65787,2586683
spill,65536,3,197361,2785248
spill,65536,2,131574,2608961
spill,65536,1,65787,2609616
spill,65536,1,65787,2498593
spill,65536,1,65787,2408353
spill,65536,1,65787,2392179
spill,65536,5,328935,3051200
spill,65536,2,131574,2649891
spill,65536,3,197361,3075449
spill,65536,3,197361,3137935
spill,65536,2,131574,2733628
spill,65536,1,65787,3018065
spill,65536,2,131574,2854108
spill,65536,2,131574,2678156
spill,65536,2,131574,2702023
spill,65536,1,65787,2804521
spill,65536,1,65787,2531668
spill,65536,1,65787,2443478
spill,65536,2,131574,1871305
spill,65536,2,131574,1069923
spill,65536,1,65787,1272574
spill,65536,1,65787,1115324
spill,65536,1,65787,673864
spill,65536,1,65787,743261
spill,65536,2,131574,740819
spill,65536,2,131574,726457
spill,65536,1,65787,533481
spill,65536,5,328935,762781
spill,65536,7,460509,1043261
spill,65536,2,131574,992482
spill,65536,2,131574,561993
spill,65536,6,394722,1249319
spill,65536,2,131574,464692
spill,65536,1,65787,1180888
spill,65536,2,131574,1329362
spill,65536,1,65787,947587
spill,65536,2,131574,810022
spill,65536,4,263148,620405
spill,65536,1,65787,896706
spill,65536,1,65787,997591
spill,65536,1,65787,920121
spill,65536,2,131574,475515
spill,65536,1,65787,679342
spill,65536,2,131574,717002
spill,65536,1,65787,406806
spill,65536,2,131574,510618
spill,65536,4,263148,1378040
spill,65536,1,65787,748321
spill,65536,2,131574,534100
spill,65536,2,131574,1074251
spill,65536,5,328935,993218
spill,65536,1,65787,1647457
spill,65536,1,65787,1240305
spill,65536,3,197361,516329
spill,65536,1,65787,518930
spill,65536,3,197361,783884
spill,65536,1,65787,618735
spill,65536,1,65787,739632
spill,65536,1,65787,713419
spill,65536,4,263148,950492
spill,65536,2,131574,963458
spill,65536,1,65787,658493
spill,65536,6,394722,1064517
spill,65536,2,131574,747512
spill,65536,3,197361,1112623
spill,65536,2,131574,1106327
spill,65536,1,65787,1302213
spill,65536,2,131574,1451624
spill,65536,3,197361,1382785
spill,65536,2,131574,1102701
spill,65536,1,65787,790547
spill,65536,2,131574,895202
spill,65536,1,65787,1375915
spill,65536,1,65787,697027
spill,65536,2,131574,1209138
spill,65536,1,65787,519546
spill,65536,1,65787,553825
spill,65536,1,65787,442667
spill,65536,1,65787,458485
spill,65536,1,65787,412539
spill,65536,1,65787,420752
spill,65536,1,65787,634211
spill,65536,1,65787,505268
spill,65536,1,65787,1601772
spill,65536,1,65787,1439670
spill,65536,1,65787,1330840
spill,65536,1,65787,1744410
spill,65536,2,131574,1016166
spill,65536,2,131574,1107146
spill,65536,1,65787,1197022
spill,65536,1,65787,927269
spill,65536,1,65787,823607
spill,65536,2,131574,964766
spill,65536,2,131574,661195
spill,65536,3,197361,1089230
spill,65536,1,65787,603282
